"Id","SkuId","Type","Name","Image"
"6778091673376485376","6778091672386629632","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/157487/14/8097/206029/60339e6bEee7d124a/3f7ed6b12eef720d.jpg!cc_60x76.jpg"
"6778091674366341120","6778091672386629632","尺码",,
"6778091676660625408","6778091675721101312","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/152719/30/19551/209843/60339e72Eb879541f/57197159e55aaea9.jpg!cc_60x76.jpg"
"6778091677658869760","6778091675721101312","尺码",,
"6778091680062205952","6778091679105904640","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/160372/1/7852/216815/60339e79Ef7fe7323/3fc3bb2ee8c42082.jpg!cc_60x76.jpg"
"6778091681026895872","6778091679105904640","尺码",,
"6778091683375706112","6778091682369073152","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/161795/36/7328/469539/6032243fEa4c6083a/60f30186ecd7e8a9.jpg!cc_60x76.jpg"
"6778091684340396032","6778091682369073152","尺码",,
"6778091686647263232","6778091685674184704","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/161795/36/7328/469539/6032243fEa4c6083a/60f30186ecd7e8a9.jpg!cc_60x76.jpg"
"6778091687645507584","6778091685674184704","尺码",,
"6778091689969152000","6778091689012850688","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/161795/36/7328/469539/6032243fEa4c6083a/60f30186ecd7e8a9.jpg!cc_60x76.jpg"
"6778091690938036224","6778091689012850688","尺码",,
"6778091693249097728","6778091692263436288","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/161795/36/7328/469539/6032243fEa4c6083a/60f30186ecd7e8a9.jpg!cc_60x76.jpg"
"6778091694234759168","6778091692263436288","尺码",,
"6778091696562597888","6778091695572742144","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/161795/36/7328/469539/6032243fEa4c6083a/60f30186ecd7e8a9.jpg!cc_60x76.jpg"
"6778091697569230848","6778091695572742144","尺码",,
"6778091699775434752","6778091698814939136","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/161795/36/7328/469539/6032243fEa4c6083a/60f30186ecd7e8a9.jpg!cc_60x76.jpg"
"6778091700798844928","6778091698814939136","尺码",,
"6778091703164432384","6778091702166188032","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/161795/36/7328/469539/6032243fEa4c6083a/60f30186ecd7e8a9.jpg!cc_60x76.jpg"
"6778091704217202688","6778091702166188032","尺码",,
"6778091706612150272","6778091705647460352","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/161795/36/7328/469539/6032243fEa4c6083a/60f30186ecd7e8a9.jpg!cc_60x76.jpg"
"6778091707581034496","6778091705647460352","尺码",,
"6778091890079395840","6778091889039208448","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/168291/21/11730/196715/6049cc76E3a0a5d28/06dadffed5146a8d.jpg!cc_60x76.jpg"
"6778091891245412352","6778091889039208448","尺码",,
"6778091893661331456","6778091892654698496","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/171215/31/11406/185469/60483022E4676ad0d/74088f0faf217ee0.jpg!cc_60x76.jpg"
"6778091894630215680","6778091892654698496","尺码",,
"6778091897046134784","6778091896052084736","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/163274/4/11523/195361/60483028Eb90f4d9a/85f00014d119d043.jpg!cc_60x76.jpg"
"6778091898073739264","6778091896052084736","尺码",,
"6778091900384800768","6778091899411722240","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/170163/13/11371/204711/6048302eE2fe78fcd/35a8703ef7f78179.jpg!cc_60x76.jpg"
"6778091901378850816","6778091899411722240","尺码",,
"6778091903723466752","6778091902741999616","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/162497/10/11793/191447/6049cc84Ebe6ba72f/d16cbf81d1b0d074.jpg!cc_60x76.jpg"
"6778091904734294016","6778091902741999616","尺码",,
"6778091907150213120","6778091906118414336","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/161810/26/11407/193432/6048303aE06f6dd88/68fbaed00b39d8e1.jpg!cc_60x76.jpg"
"6778091908110708736","6778091906118414336","尺码",,
"6778091910472101888","6778091909473857536","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/157966/24/12154/194472/6048303fEbebe3a5d/04f043740876e8f9.jpg!cc_60x76.jpg"
"6778091911440986112","6778091909473857536","尺码",,
"6778091913865293824","6778091912850272256","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/162414/2/11550/202270/60483044Ef74fc952/63ba91d48070ca30.jpg!cc_60x76.jpg"
"6778091914913869824","6778091912850272256","尺码",,
"6778091917493366784","6778091916407042048","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/147241/5/14228/208768/60483049Ec512fdd3/679415e857600ce4.jpg!cc_60x76.jpg"
"6778091918617440256","6778091916407042048","尺码",,
"6778091921104662528","6778091920110612480","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/159616/15/11636/204126/6048304fE6532a61b/ac8319d5ac0a9a72.jpg!cc_60x76.jpg"
"6778091922161627136","6778091920110612480","尺码",,
"6778091924632072192","6778091923583496192","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/170747/40/11437/200066/60483057Ed654debb/66547decf356f685.jpg!cc_60x76.jpg"
"6778091925659676672","6778091923583496192","尺码",,
"6778091928117538816","6778091927035408384","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/169422/12/11340/206311/6048305eEeecf22a2/d8705df032e8a710.jpg!cc_60x76.jpg"
"6778091929182892032","6778091927035408384","尺码",,
"6778091931540090880","6778091930541846528","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/156522/21/14879/219276/60483064Ec5e120b5/f427165914e36ad5.jpg!cc_60x76.jpg"
"6778091932534140928","6778091930541846528","尺码",,
"6778091934845202432","6778091933905678336","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/161767/1/11545/212571/6048306dE797e2aca/94dd60fcc147b39d.jpg!cc_60x76.jpg"
"6778091935939915776","6778091933905678336","尺码",,
"6778091938448109568","6778091937328230400","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/159930/17/12065/216031/60483072Ee98089df/735ca47a0087bb94.jpg!cc_60x76.jpg"
"6778091939517657088","6778091937328230400","尺码",,
"6778091942038433792","6778091940952109056","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/166914/30/11917/221207/60483078Eceeacd83/4a8a6347c4edd623.jpg!cc_60x76.jpg"
"6778091943128952832","6778091940952109056","尺码",,
"6778091945666506752","6778091944659873792","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/155863/9/14754/225133/6048307dEfb5640ab/72caadce2abcc106.jpg!cc_60x76.jpg"
"6778091946727665664","6778091944659873792","尺码",,
"6778091949156167680","6778091948145340416","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/158059/1/12138/228263/60483082E6f16b349/327318e4ef5a3f22.jpg!cc_60x76.jpg"
"6778091950133440512","6778091948145340416","尺码",,
"6778091952549359616","6778091951580475392","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/157537/31/12077/201219/60483088Eecb41699/d63847b6171502b2.jpg!cc_60x76.jpg"
"6778091953505660928","6778091951580475392","尺码",,
"6778091956013854720","6778091954940112896","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/165641/4/10692/208438/6048308dE1ce9adf4/450e90b1b5ca6e11.jpg!cc_60x76.jpg"
"6778091957049847808","6778091954940112896","尺码",,
"6778091959407046656","6778091958404608000","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/163734/22/11245/212385/60483092Ebd1b02bb/a6573f30e4431033.jpg!cc_60x76.jpg"
"6778091960392708096","6778091958404608000","尺码",,
"6778091963106422784","6778091961760051200","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/157396/22/12101/221473/60483097Ea5c936b9/79ac4f6ac635b0b9.jpg!cc_60x76.jpg"
"6778091964117250048","6778091961760051200","尺码",,
"6778091966721912832","6778091965677531136","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/167814/39/11282/214382/6048309dE896ee557/03a9767bda299202.jpg!cc_60x76.jpg"
